Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Ocorrencia
,28,,9.3,2.3,19.36,60.5,3.37,LANINA
0,,14.3,,,,,3.93,LANINA
,28.1,,9.5,4.1,19.06,55.5,2.50,LANINA
0,,11.1,,,,,1.57,LANINA
,27.2,,9.4,5,20.46,67.25,4.27,LANINA
0,,13.2,,,,,4.30,LANINA
,27.2,,8.4,3.9,20.26,73.75,3.53,LANINA
0,,16.5,,,,,3.13,LANINA
,26.2,,8.7,4,19.12,73.5,2.30,LANINA
0,,16.2,,,,,2.37,LANINA
,26.9,,8.4,3.4,19.04,70.25,2.63,LANINA
0,,14.3,,,,,2.33,LANINA
,27.9,,7.4,3.2,20.26,69.25,2.37,LANINA
0,,14,,,,,2.33,LANINA
,28.7,,6.2,3.5,22.44,61,2.33,LANINA
0,,14.9,,,,,2.03,LANINA
,22.8,,0,4,14.9,92.25,1.50,LANINA
1.4,,11.5,,,,,1.60,LANINA
,21.9,,9.4,1.5,15.16,66.75,4.73,LANINA
0,,9.1,,,,,3.43,LANINA
,22,,2.6,4.3,17.3,68,2.07,LANINA
0,,13.1,,,,,2.27,LANINA
,26.7,,8.6,3.4,19.34,74.25,2.77,LANINA
0,,14.6,,,,,3.23,LANINA
,27.7,,9.1,2.9,19.88,72.25,2.53,LANINA
0,,14.5,,,,,2.37,LANINA
,26.3,,6.7,3.7,20,79,5.30,LANINA
0,,16.1,,,,,4.23,LANINA
,26.2,,7.5,2.3,18.76,78.25,3.20,LANINA
0,,15.7,,,,,2.03,LANINA
,29.6,,9,2.6,20.16,67.5,3.67,LANINA
0,,13.1,,,,,3.73,LANINA
,29.3,,8.3,4.4,22.1,66.75,2.83,LANINA
0,,18.2,,,,,2.30,LANINA
,28,,4.4,4.1,21.24,69.25,2.07,LANINA
0,,16.3,,,,,1.20,LANINA
,26,,1.7,3.2,19.64,83.5,1.30,LANINA
0,,16.9,,,,,1.40,LANINA
,27,,7.4,2.8,20.36,72.75,0.43,LANINA
0,,15.5,,,,,2.60,LANINA
,27.5,,7.1,3.6,20.06,71.25,3.13,LANINA
0,,16.8,,,,,2.47,LANINA
,19.2,,0,3.8,17.24,95.75,2.20,LANINA
3,,16.5,,,,,2.73,LANINA
,16.4,,0,0.2,15.94,97.25,1.20,LANINA
35.2,,15.7,,,,,3.70,LANINA
,17.9,,7.8,0.4,12.2,72.75,3.80,LANINA
19.3,,10.2,,,,,3.60,LANINA
,19.6,,9.2,2.4,12.76,65.75,2.97,LANINA
0,,6.9,,,,,1.93,LANINA
,22.2,,8.7,3.1,13.22,71.5,1.87,LANINA
0,,7.3,,,,,2.43,LANINA
,16.7,,0,3.3,13.66,89.25,3.53,LANINA
0,,11,,,,,1.90,LANINA
,22.4,,8,0.4,14.98,79,2.13,LANINA
7.8,,8.5,,,,,1.83,LANINA
,21,,6.7,2.9,15.8,77.75,1.47,LANINA
0.3,,12.4,,,,,0.97,LANINA
