--------------------
BDMEP - INMET
--------------------
Estação           : PRESIDENTE PRUDENTE - SP (OMM: 83716)
Latitude  (graus) : -22.11
Longitude (graus) : -51.38
Altitude  (metros): 435.55
Estação Operante
Inicio de operação: 01/10/1940
Periodo solicitado dos dados: 01/01/2007 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83716;19/05/2007;0000;;24.8;;0;92.5;0.8;
83716;19/05/2007;1200;1;;20;;;;
83716;20/05/2007;0000;;28.6;;8.6;70.25;2.7;
83716;20/05/2007;1200;2.9;;16.5;;;;
83716;21/05/2007;0000;;31.8;;9.3;52.5;2.9;
83716;21/05/2007;1200;0;;18.4;;;;
83716;22/05/2007;0000;;25.9;;2.7;85.5;2.433333;
83716;22/05/2007;1200;3.9;;19.6;;;;
83716;23/05/2007;0000;;20.2;;0;79.75;2.633333;
83716;23/05/2007;1200;33.9;;14.3;;;;
83716;24/05/2007;0000;;17.6;;9.1;60.5;1.9;
83716;24/05/2007;1200;0.9;;8.3;;;;
83716;25/05/2007;0000;;21.6;;10.2;54.5;2.666667;
83716;25/05/2007;1200;0;;8.4;;;;
83716;26/05/2007;0000;;24.3;;8.6;63;1.466667;
83716;26/05/2007;1200;0;;10.8;;;;
83716;27/05/2007;0000;;22.4;;4.7;80;0.966667;
83716;27/05/2007;1200;6.5;;14.6;;;;
83716;28/05/2007;0000;;24.1;;7.4;77;1.033333;
83716;28/05/2007;1200;0;;14.2;;;;
83716;29/05/2007;0000;;21.3;;9.8;59.75;2.466667;
83716;29/05/2007;1200;0;;12.4;;;;
83716;30/05/2007;0000;;19.1;;9.4;61;1.5;
83716;30/05/2007;1200;0;;6.3;;;;
83716;31/05/2007;0000;;21.5;;2.8;63.25;2.166667;
83716;31/05/2007;1200;0;;9.6;;;;
83716;01/06/2007;0000;;29.2;;5.9;63.25;1;
83716;01/06/2007;1200;0;;11.8;;;;
83716;02/06/2007;0000;;24.3;;0;84.5;1;
83716;02/06/2007;1200;0.4;;17.7;;;;
83716;03/06/2007;0000;;19.9;;3.8;65.25;0.866667;
83716;03/06/2007;1200;0;;13.3;;;;
83716;04/06/2007;0000;;21;;8.3;59.75;0.366667;
83716;04/06/2007;1200;0;;7.2;;;;
83716;05/06/2007;0000;;24.7;;10.1;56.75;0.7;
83716;05/06/2007;1200;0;;;;;;
83716;06/06/2007;0000;;27.3;;9.5;50.25;2.3;
83716;06/06/2007;1200;0;;14.3;;;;
83716;07/06/2007;0000;;30.4;;9.9;53.5;1.433333;
83716;07/06/2007;1200;0;;16.2;;;;
83716;08/06/2007;0000;;30.6;;9.8;56;1.5;
83716;08/06/2007;1200;0;;18.7;;;;
83716;09/06/2007;0000;;31.1;;9.7;49;2.066667;
83716;09/06/2007;1200;0;;20.2;;;;
83716;10/06/2007;0000;;30.2;;9.8;51;1.7;
83716;10/06/2007;1200;0;;19.4;;;;
83716;11/06/2007;0000;;29.9;;9.9;55;1.466667;
83716;11/06/2007;1200;0;;18.4;;;;
83716;12/06/2007;0000;;30;;9.8;45.75;1.4;
83716;12/06/2007;1200;0;;17.7;;;;
83716;13/06/2007;0000;;30;;10;45.5;2.5;
83716;13/06/2007;1200;0;;17.9;;;;
83716;14/06/2007;0000;;30.5;;9.8;46;1.433333;
83716;14/06/2007;1200;0;;18.9;;;;
83716;15/06/2007;0000;;31.5;;7.2;52.75;2.133333;
83716;15/06/2007;1200;0;;18.1;;;;
83716;16/06/2007;0000;;27.6;;6.1;77.25;1.133333;
83716;16/06/2007;1200;0;;17.4;;;;
83716;17/06/2007;0000;;30.8;;9.5;65.75;1.366667;
83716;17/06/2007;1200;0;;18;;;;
83716;18/06/2007;0000;;31.2;;8.3;55.75;1.166667;
83716;18/06/2007;1200;0;;19;;;;
83716;19/06/2007;0000;;30.2;;9.5;49;2.733333;
83716;19/06/2007;1200;0;;20.4;;;;
83716;20/06/2007;0000;;29.6;;9.6;46.5;2.766667;
83716;20/06/2007;1200;0;;18.5;;;;
83716;21/06/2007;0000;;28.9;;9.5;50;1.6;
83716;21/06/2007;1200;0;;17.3;;;;
83716;22/06/2007;0000;;29.2;;9.9;51.75;2.166667;
83716;22/06/2007;1200;0;;18;;;;
